Tên Công Việc,Tên Công Ty,Lương,Địa Điểm,Hình Ảnh
"Nhân Viên Kinh Doanh, Tư Vấn - Nghỉ Dưỡng Cao Cấp (Timeshare) (Hà Nội)",Công Ty TNHH Viet Nam Stay Travel,8 - 100 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ipLdRyrqGnZe4hPCzO2Lj2XPQdzAwp37_1657252043____0afea70639e77b459d5c6d08fe2159ed.png
"GẤP
Phỏng Vấn Viên - Bán Thời Gian",CÔNG TY TNHH TRUYỀN THÔNG TNS VIỆT NAM,4 - 5 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-truyen-thong-tns-viet-nam-631e98463ae8e.jpg
Chuyên Viên Kinh Doanh (Kinh Nghiệm 1 Năm Trở Lên - Thu Nhập Lên Đến 30 Triệu/ Tháng),CÔNG TY TNHH MTV TƯ VẤN ĐẦU TƯ GFDI,Tới 30 triệu,Hà Nội & 11 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-mtv-tu-van-dau-tu-gfdi-933802c300c09785b5207d69a0ea6279-6604f1de3dea2.jpg
"HOT
Chuyên Viên Kế Toán (Nữ) - Thu Nhập Hấp Dẫn - Tại Hà Nội",Công ty cổ phần Công nghệ MobiFone Toàn cầu (MobiFone Global),Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-mobifone-toan-cau-6417b7552cdba.jpg
Nhân Viên Đặt Lịch Hẹn (Du Lịch) - Hỗ Trợ 100% Data - Giờ Hành Chính - Thu Nhập Từ 20 - 50tr/Tháng,Công ty Cổ phần Đầu tư và Phát triển du lịch Ravi,20 - 50 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-va-phat-trien-du-lich-ravi-63ecad7250fe9.jpg
"HOT
Nhân Viên Tư Vấn Bán Hàng Showroom - Thu Nhập 20 - 60 Triệu (Tiếng Anh Giao Tiếp) - Không Yêu Cầu Bằng Cấp - Thủ Đức, Quận 10, Tân Phú, Biên Hòa, Sơn Trà, Thanh Khê",CÔNG TY CỔ PHẦN OJRT BEAUTY,10 - 30 triệu,Đồng Nai & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/vGQo0Xd8CBLc9zjamnUmCmGeOkj0xrWI_1664446031____3b894a528a51f9985f829adf98014764.jpeg
"Trưởng Nhóm Kinh Doanh/Phát Triển Khách Hàng (Business Development Team Lead) (Đà Nẵng, Lương Thương Lượng)",Công ty Cổ phần PropertyGuru Việt Nam,Thoả thuận,Đà Nẵng,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-propertyguru-viet-nam-e8a94c4eaf57e0e680c3257ae58edb57-64d338f065037.jpg
Nhân Viên Kinh Doanh /Sale Du Lịch - Hỗ Trợ 100% Data - Thu Nhập 20-30 Triệu/Tháng - Hà Nội,Công ty Cổ phần Đầu tư và Phát triển du lịch Ravi,20 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-va-phat-trien-du-lich-ravi-63ecad7250fe9.jpg
Nhân Viên Tư Vấn Giáo Dục (Educational Consultant),CÔNG TY CỔ PHẦN KAPLA VIETNAM,7 - 25 triệu,"Hồ Chí Minh, Bình Dương",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/2cwUrbghJLVcJfkv5rQpNSYtkyfRxt2P_1713839239____fcc80559d3333d79345bacae8775dad3.jpg
Content Marketing/ Content SEO (Lương 8 - 12 Triệu),Công ty TNHH Du Lịch Authentic Asia,8 - 12 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/lGJWN6zkZMfn62c3XYH0jPJgSv7oMRPQ_1646024873____835fb504bda48dff2507840c73d54632.png
"HOT
Nhân Viên Kinh Doanh / Sales Mảng Du Lịch (Tư Vấn Trực Tiếp Tại Văn Phòng - Được Hỗ Trợ Khách Hàng - Thu Nhập Từ 10 -100 Triệu)",Công ty Cổ phần Vega Holidays,10 - 100 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-vega-holidays-4a1a18a2a4b64f5573c12d4f822ead08-651d240a4b907.jpg
"UX/UI Designer, 12-20tr, Nghỉ T7 & CN",CÔNG TY TNHH CNV HOLDINGS,10 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/tGaijPlPrpNA7FOLPz2R0VBRcNenTD01_1715769683____1687cef570aefffbfeb65d89a3818908.jpg
"TOP
Tổng Đài Viên Chăm Sóc Khách Hàng - Tại Đống Đa",CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,7 - 9 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-transcosmos-viet-nam-5961d92dd08ff3673bd213e172710a39-65dd57faac12a.jpg
"Quản Lý, Giám Sát Cảnh Quan Tòa Nhà (Thu Nhập Hấp Dẫn Từ 9 - 11 Triệu/Tháng)",Công ty Cổ phần Thương mại và Dịch vụ Tân Thiên Kim,9 - 11 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-thuong-mai-va-dich-vu-tan-thien-kim-251f093675f0c95a228d309dddbc7f5a-6541ca8a9788b.jpg
Nhân Viên Kinh Doanh Thử Việc 100% Lương - Thu Nhập Dao Động Từ 12- 25 Triệu/Tháng,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ THIÊN QUANG,12 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-so-thien-quang-b906eec4de4398408fd4b215feffc22e-65b20947c23b6.jpg
Nhân Viên Kinh Doanh/ Sale/ Tư Vấn Căn Hộ - Lương Cơ Bản Luỹ Tiến Lên Đến 19 Triệu,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DỊCH VỤ SAIGON REAL,Trên 50 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-va-dich-vu-saigon-real-12971c64a70453c1788bb9aa3eed363d-654b5f54d4cbc.jpg
Nhân Viên Kinh Doanh/ Sales - Thu Nhập Upto 25 Triệu ++ Làm Việc Từ T2 Đến T6,Công ty Cổ phần Công nghệ EupFin Việt Nam,15 - 25 triệu,Hà Nội & 3 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-eupfin-viet-nam-628caaba38085.jpg
